PMC_ID,PMC_Year,Journal,Article Title,Secondary analysis,Data availability statement (yes/no),Data availability (yes/no),"If Data availability = yes, where do they share data? (SRA/GEO/other)","If other database, specifiy which one",Code availability statement (Yes/No),Code availability (Yes/No (reason)),Code availability (Yes/No),"If Code availability = yes,  What kind of code do they share?","If Code availability = yes, where do they share code (supplementary/ GitHub/ other)","If Code availability = yes, do they share the code as notebook or R markdown file (.Rmd)? (yes/no)","If yes, notebook/Rmd","If yes, single/ multiple",Summary data (yes/ no/ partial),Number of citations,Gender of the PI,"Experience of PI/ Last author (Check their profile or webpage to see whether they are an associate/ assistant/ professor/ professor emiretus, etc)",PI/ last author's training background - CS/ Bioinformatics/ Other,PI (last author's) education level - PhD/PostDoc/ Master's etc,First author's education level,First author's training background (CS/ Bioinformatics/ Other)
PMC5048069,2016,Bioinformatics,PEP_scaffolder: using (homologous) proteins to scaffold genomes,no,no,no,,,Yes,No (Link Expired),No,Software,Other(Website),Can't tell,Can't tell,Can't tell,Can't tell,11,,Assistant Professor,,,,
PMC5254078,2016,Bioinformatics,FoldAtlas: a repository for genome-wide RNA structure probing data,no,yes,yes,SRA,,Yes,Yes,Yes,Database,GitHub,No,,,No,12,Female,Group Leader,Other ,PostDoc,,
PMC4908329,2016,Bioinformatics,A convex optimization approach for identification of human tissue-specific interactomes,yes,,,,,Yes,No (Link Expired),No,Pipeline,Other(Website),Can't tell,Can't tell,Can't tell,Can't tell,12,Male,Professor ,CS,Phd,Phd,CS
PMC4908319,2016,Bioinformatics,Privacy-preserving microbiome analysis using secure computation,yes,,,,,Yes,No (Link Expired),No,Software,Other(Website),Can't tell,Can't tell,Can't tell,Can't tell,18,Male,Professor,Cs,Phd,,
PMC4920110,2016,Bioinformatics,Phasing for medical sequencing using rare variants and large haplotype reference panels,yes,,,,,Yes,No (Link Expired),No,Software,Other(Website),Can't tell,Can't tell,Can't tell,Can't tell,19,Male,Director,Other,Phd,Phd,Other Machine Learning
PMC4908351,2016,Bioinformatics,Genome assembly from synthetic long read clouds,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,30,Male,Emeritus Professor,CS,Phd,Post Doc,CS
PMC4908349,2016,Bioinformatics,RNAiFold2T: Constraint Programming design of thermo-IRES switches,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,8,Male,Professor,"Other, courtesy Professor of Computer Science",Phd,Phd,CS and Bioinformatics
PMC5351549,2016,Bioinformatics,Training alignment parameters for arbitrary sequencers with LAST-TRAIN,yes,,,,,Yes,Yes,Yes,Tool,Gitlab,No,,,,46,Male,Professor,Bioinformatics,PostDoc,Phd,Bioinformatics
PMC5018371,2016,Bioinformatics,TarPmiR: a new approach for microRNA target site prediction,yes,,,,,Yes,Yes,Yes,Software,Other(Website),No,,,No,98,,,,,,
PMC4908323,2016,Bioinformatics,Isoform-level ribosome occupancy estimation guided by transcript abundance with Ribomap,yes,,,,,Yes,Yes,Yes,Software,"Other(Website), GitHub",No,,,No,31,Male,Professor,CS,Phd,,CS
PMC5073995,2016,BMC_Bioinformatics,Successful classification of cocaine dependence using brain imaging: a generalizable machine learning approach,no,no,no,,,No,No,No,,,,,,No,20,Male,Emeritus  Professor,Other,MD,Doctor,CS
PMC5123308,2016,BMC_Bioinformatics,An analytical upper bound on the number of loci required for all splits of a species tree to appear in a set of gene trees,no,no,no,,,No,No,No,,,,,,No,3,Male,Professor,Other Computational Biology,PostDoc,Phd,Bioinformatics
PMC5139036,2016,BMC_Bioinformatics,Integrating mean and variance heterogeneities to identify differentially expressed genes,yes,,,,,No,No,No,,,,,,No,3,Male,Assistant Professor ,Other,PostDoc,Phd,Biostatistics
PMC4826549,2016,BMC_Bioinformatics,Structured feature selection using coordinate descent optimization,yes,,,,,No,No,No,,,,,,No,27,Male,Professor,,,Phd,CS
PMC5259871,2016,BMC_Bioinformatics,Dynamic epigenetic mode analysis using spatial temporal clustering,yes,,,,,No,No,No,,,,,,No,3,,,,,,
PMC5075203,2016,BMC_Bioinformatics,Subcellular protein expression models for microsatellite instability in colorectal adenocarcinoma tissue images,yes,,,,,Yes,No (Available upon request),No,,,,,,No,1,Male,Professor,CS,Phd,Phd,
PMC5259813,2016,BMC_Bioinformatics,"Prediction of HIV-1 protease cleavage site using a combination of sequence, structural, and physicochemical features",yes,,,,,No,No (Available upon request),No,,,,,,Can't tell,23,Female,Associate Professor,CS and Bioinformatics,Phd,Phd,Biomedical Informatics
PMC5043639,2016,BMC_Bioinformatics,Representing and decomposing genomic structural variants as balanced integer flows on sequence graphs,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,7,Male,Professor ,CS,Phd,Post Doc,Bioinformatics
PMC5123383,2016,BMC_Bioinformatics,A fuzzy method for RNA-Seq differential expression analysis in presence of multireads,yes,,,,,Yes,Yes,Yes,Pipeline,Other(Website),No,,,No,16,Male,Researcher,Bioinformatics and Biological Science,NM,Phd,CS
PMC5020541,2016,BMC_Bioinformatics,CellTree: an R/bioconductor package to infer the hierarchical structure of cell populations from single-cell RNA-seq data,yes,,,,,Yes,Yes,Yes,Package,Others (Website),No,,,Yes,48,Male ,Professor,Engineering,Phd,Phd,Bioinformatics
PMC4831157,2016,Genome_Biol,Single-cell analysis of long non-coding RNAs in the developing human neocortex,no,no,no,,,No,No,No,,,,,,No,264,Male,Professor,Other Medicine,MD,MD,Medicine
PMC5131449,2016,Genome_Biol,Systematic analysis of chromatin interactions at disease associated loci links novel candidate genes to inflammatory bowel disease,no,yes,yes,GEO,,No,No,No,,,,,,No,34,Male,Associate Professor,Other Medicine,MD,,
PMC5059998,2016,Genome_Biol,Recurrent evolution of heat-responsiveness in Brassicaceae COPIA elements,no,yes,yes,GEO,,Yes,Yes,Yes,Protocol,GitHub,No,,,No,54,Male,Associate Professor,Other ,Phd,Phd,Other
PMC5032245,2016,Genome_Biol,Age-related accrual of methylomic variability is linked to fundamental ageing mechanisms,no,yes,yes,other,EGA,No,Yes,Yes,Package,GitHub,Yes,Rmd,multiple,No,80,Male,Professor,Other,PostDoc,Phd,Other
PMC4934005,2016,Genome_Biol,Single-cell genome-wide bisulfite sequencing uncovers extensive heterogeneity in the mouse liver methylome,yes,,,,,No,No,No,,,,,,No,92,Male,Professor,Other,Phd,,
PMC5006368,2016,Genome_Biol,Topoisomerase II beta interacts with cohesin and CTCF at topological domain borders,yes,,,,,No,No,No,,,,,,No,166,,,,,,
PMC4734871,2016,Genome_Biol,External signals shape the epigenome,yes,,,,,No,No,No,,,,,,No,1,,,,,,
PMC4823857,2016,Genome_Biol,Design and computational analysis of single-cell RNA-sequencing experiments,yes,,,,,No,No,No,,,,,,No,384,Female,Professor,Other Mathematics,Phd,Phd,Other Statistics
PMC4964047,2016,Genome_Biol,Selected heterozygosity at cis-regulatory sequences increases the expression homogeneity of a cell population in humans,yes,,,,,No,No,No,,,,,,No,7,Male,Assistant Professor,"Other , Biological Sciences",Phd,Phd,Bioinformatics
PMC5054559,2016,Genome_Biol,Prediction of gestational age based on genome-wide differentially methylated regions,yes,,,,,Yes,Yes,Yes,Package,Zenodo,Yes,Rmd,single,No,71,Male,Professor,Other Epidemiology,Phd,Phd,Bioinformatics
